"BehaviorSpace results (NetLogo 3D 6.1.0)"
"MacrophageDifferentiationModel.nlogo3d"
"NinaExploInAbsenceOfMonocytes"
"07/23/2020 13:58:51:885 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-72","72","-72","72"
"[run number]","gui-death_rate","[step]","getViability","getRemainingCellRatio","getSeed"
"1","1.001","127","94","100","40"
"3","1.001","125","94","100","90"
"2","1.001","125","94","100","38"
"4","1.001","119","94","100","140"
"1","1.001","128","94","100","40"
"3","1.001","126","94","100","90"
"2","1.001","126","94","100","38"
"4","1.001","120","94","100","140"
"1","1.001","129","94","100","40"
"3","1.001","127","94","100","90"
"2","1.001","127","94","100","38"
"1","1.001","130","94","100","40"
"4","1.001","121","94","100","140"
"3","1.001","128","94","100","90"
"2","1.001","128","94","100","38"
"4","1.001","122","94","100","140"
"1","1.001","131","94","100","40"
"3","1.001","129","94","100","90"
"2","1.001","129","94","100","38"
"4","1.001","123","94","100","140"
"1","1.001","132","94","100","40"
"3","1.001","130","94","100","90"
"2","1.001","130","94","100","38"
"1","1.001","133","94","100","40"
"4","1.001","124","94","100","140"
"3","1.001","131","94","100","90"
"2","1.001","131","94","100","38"
"1","1.001","134","94","100","40"
"4","1.001","125","94","100","140"
"3","1.001","132","94","100","90"
"2","1.001","132","94","100","38"
"1","1.001","135","94","100","40"
"4","1.001","126","94","100","140"
"3","1.001","133","94","100","90"
"2","1.001","133","94","100","38"
"1","1.001","136","94","100","40"
"4","1.001","127","94","100","140"
"3","1.001","134","94","100","90"
"2","1.001","134","94","100","38"
"1","1.001","137","94","100","40"
"4","1.001","128","94","100","140"
"3","1.001","135","94","100","90"
"2","1.001","135","94","100","38"
"1","1.001","138","94","100","40"
"4","1.001","129","94","100","140"
"3","1.001","136","94","100","90"
"2","1.001","136","94","100","38"
"1","1.001","139","94","100","40"
"4","1.001","130","94","100","140"
"3","1.001","137","94","100","90"
"2","1.001","137","94","100","38"
"1","1.001","140","94","100","40"
"4","1.001","131","94","100","140"
"3","1.001","138","94","100","90"
"2","1.001","138","94","100","38"
"1","1.001","141","94","100","40"
"4","1.001","132","94","100","140"
"3","1.001","139","94","100","90"
"2","1.001","139","94","100","38"
"1","1.001","142","94","100","40"
"4","1.001","133","94","100","140"
"3","1.001","140","94","100","90"
"2","1.001","140","94","100","38"
"4","1.001","134","94","100","140"
