BehaviorSpace results (NetLogo 3D 6.1.0);;;;;;;
CLL-update-fusionReversible-forSeedExperiment_test_deleting_some_parameters_as_theyre_probably_dependent-cleaningUpTheCode.nlogo3d;;;;;;;
NinaExploInAbsenceOfMonocytes;;;;;;;
06/13/2020 19:10:48:149 +0200;;;;;;;
min-pxcor;max-pxcor;min-pycor;max-pycor;;;;
-72;72;-72;72;;;;
[run number];gui-LateApoThreshold;gui-apoptosisDuration;gui-disintegrationDuration;gui-death_rate;[step];getViability;getRemainingCellRatio
587;5;36;20;1.007;216;41.48;100
588;5;36;20;1.007;216;41.48;100
596;5;36;30;1.007;216;41.48;100
595;5;36;30;1.007;216;41.48;100
603;5;36;50;1.007;216;41.48;100
604;5;36;50;1.007;216;41.48;100
611;5;48;10;1.007;216;41.48;100
612;5;48;10;1.007;216;41.48;100
619;5;48;20;1.007;216;41.48;100
620;5;48;20;1.007;216;41.48;100
627;5;48;30;1.007;216;41.48;100
628;5;48;30;1.007;216;41.48;100
635;5;48;50;1.007;216;41.48;100
636;5;48;50;1.007;216;41.48;100
643;10;12;10;1.007;216;41.48;100
644;10;12;10;1.007;216;41.48;100
651;10;12;20;1.007;216;41.48;100
652;10;12;20;1.007;216;41.48;100
659;10;12;30;1.007;216;41.48;100
660;10;12;30;1.007;216;41.48;100
667;10;12;50;1.007;216;41.48;100
668;10;12;50;1.007;216;41.48;100
675;10;24;10;1.007;216;41.48;100
676;10;24;10;1.007;216;41.48;100
683;10;24;20;1.007;216;41.48;100
684;10;24;20;1.007;216;41.48;100
691;10;24;30;1.007;216;41.48;100
692;10;24;30;1.007;216;41.48;100
699;10;24;50;1.007;216;41.48;100
700;10;24;50;1.007;216;41.48;100
707;10;36;10;1.007;216;41.48;100
708;10;36;10;1.007;216;41.48;100
715;10;36;20;1.007;216;41.48;100
716;10;36;20;1.007;216;41.48;100
723;10;36;30;1.007;216;41.48;100
724;10;36;30;1.007;216;41.48;100
731;10;36;50;1.007;216;41.48;100
732;10;36;50;1.007;216;41.48;100
739;10;48;10;1.007;216;41.48;100
740;10;48;10;1.007;216;41.48;100
747;10;48;20;1.007;216;41.48;100
748;10;48;20;1.007;216;41.48;100
755;10;48;30;1.007;216;41.48;100
756;10;48;30;1.007;216;41.48;100
763;10;48;50;1.007;216;41.48;100
764;10;48;50;1.007;216;41.48;100
771;20;12;10;1.007;216;44.20289855;93.84
772;20;12;10;1.007;216;44.20289855;93.84
779;20;12;20;1.007;216;41.48;100
780;20;12;20;1.007;216;41.48;100
787;20;12;30;1.007;216;41.48;100
788;20;12;30;1.007;216;41.48;100
796;20;12;50;1.007;216;41.48;100
795;20;12;50;1.007;216;41.48;100
803;20;24;10;1.007;216;41.48;100
804;20;24;10;1.007;216;41.48;100
811;20;24;20;1.007;216;41.48;100
812;20;24;20;1.007;216;41.48;100
819;20;24;30;1.007;216;41.48;100
820;20;24;30;1.007;216;41.48;100
827;20;24;50;1.007;216;41.48;100
828;20;24;50;1.007;216;41.48;100
835;20;36;10;1.007;216;41.48;100
836;20;36;10;1.007;216;41.48;100
843;20;36;20;1.007;216;41.48;100
844;20;36;20;1.007;216;41.48;100
851;20;36;30;1.007;216;41.48;100
852;20;36;30;1.007;216;41.48;100
859;20;36;50;1.007;216;41.48;100
860;20;36;50;1.007;216;41.48;100
867;20;48;10;1.007;216;41.48;100
868;20;48;10;1.007;216;41.48;100
875;20;48;20;1.007;216;41.48;100
876;20;48;20;1.007;216;41.48;100
883;20;48;30;1.007;216;41.48;100
884;20;48;30;1.007;216;41.48;100
891;20;48;50;1.007;216;41.48;100
892;20;48;50;1.007;216;41.48;100
899;30;12;10;1.007;216;53.09779826;78.12
900;30;12;10;1.007;216;53.09779826;78.12
907;30;12;20;1.007;216;44.91121698;92.36
908;30;12;20;1.007;216;44.91121698;92.36
915;30;12;30;1.007;216;41.48;100
916;30;12;30;1.007;216;41.48;100
923;30;12;50;1.007;216;41.48;100
924;30;12;50;1.007;216;41.48;100
931;30;24;10;1.007;216;43.48008386;95.4
932;30;24;10;1.007;216;43.48008386;95.4
939;30;24;20;1.007;216;41.48;100
940;30;24;20;1.007;216;41.48;100
947;30;24;30;1.007;216;41.48;100
948;30;24;30;1.007;216;41.48;100
955;30;24;50;1.007;216;41.48;100
